Ref,Councillor,Date received,Service area,Directorate
15285300,"Ward-Wilson, Janice",2024-02-01,0-25 SEND,Educational Achievement & Inclusion
15431020,"Ward-Wilson, Janice",2024-03-01,Environmental Services,Place
15494464,"Ward-Wilson, Janice",2024-04-01,Safeguarding Adults,Adult Social Care & Health
15632656,"Ward-Wilson, Janice",2024-05-01,Environmental Services,Place
15666024,"Ward-Wilson, Janice",2024-05-01,"Highways, Traffic and Infrastructure",Place
15726996,"Ward-Wilson, Janice",2024-06-01,Housing Services,Place
14146900,"Gower MBE, Sue",2023-07-01,Environmental Services,Place
14147400,"Sandhu, Rags",2023-07-01,Environmental Services,Place
14148200,"Christoforides, Kurtis",2023-07-01,Environmental Services,Place
14153864,"Curtois, Andrew",2023-07-01,Leisure Parks and Open Spaces,Place
14156364,"Davey, John",2023-07-01,Leisure Parks and Open Spaces,Place
14157996,"Gower MBE, Sue",2023-07-01,Environmental Services,Place
14158496,"Ball, Chris",2023-07-01,Planning and Regulation,Place
14161096,"Curtois, Andrew",2023-07-01,Leisure Parks and Open Spaces,Place
14162896,"Leaf, David",2023-07-01,Housing Services,Place
14163096,"Leaf, David",2023-07-01,Libraries and Communities,Place
14165497,"Ferguson, Larry",2023-07-01,Environmental Services,Place
14170860,"Hunt, James",2023-07-01,Environmental Services,Place
14172860,"Leaf, David",2023-07-01,Leisure Parks and Open Spaces,Place
14174360,"Hall, Steven",2023-07-01,Environmental Services,Place
14174860,"Perfect, Wendy",2023-07-01,Leisure Parks and Open Spaces,Place
14175460,"Read, Philip",2023-07-01,Environmental Services,Place
14176524,"Taylor, Nicola",2023-07-01,"Highways, Traffic and Infrastructure",Place
14187020,"Leaf, David",2023-07-01,Environmental Services,Place
14190984,"French, Louie",2023-07-01,Housing Services,Place
14197416,"Sandhu, Rags",2023-07-01,Environmental Services,Place
14197517,"Hall, Steven",2023-07-01,Environmental Services,Place
14198516,"Ferguson, Larry",2023-07-01,"Highways, Traffic and Infrastructure",Place
14200116,"Slaughter, June",2023-07-01,Planning and Regulation,Place
14202016,"Hall, Steven",2023-07-01,Planning and Regulation,Place
14203216,"Ferguson, Larry",2023-07-01,Environmental Services,Place
14205812,"Ferguson, Larry",2023-07-01,Environmental Services,Place
14211312,"Hall, Steven",2023-07-01,Environmental Services,Place
14211613,"Ward-Wilson, Janice",2023-07-01,Environmental Services,Place
14213712,"Holloway, Adam",2023-07-01,Housing Services,Place
14216308,"Ward-Wilson, Janice",2023-07-01,"Highways, Traffic and Infrastructure",Place
14220508,"Francis, Daniel",2023-07-01,Integrated Commissioning,Adult Social Care & Health
14223637,"Leaf, David",2023-07-01,"Highways, Traffic and Infrastructure",Place
14227736,"Curtois, Andrew",2023-07-01,Leisure Parks and Open Spaces,Place
14227836,"Hall, Steven",2023-07-01,"Highways, Traffic and Infrastructure",Place
14229501,"Newton, Caroline",2023-07-01,Environmental Services,Place
14230700,"Taylor, Nicola",2023-07-01,"Highways, Traffic and Infrastructure",Place
14233801,"Hall, Steven",2023-07-01,Environmental Services,Place
14235000,"Borella, Stefano",2023-07-01,"Property, Assets and Facilities Management",Finance
14237700,"Perfect, Wendy",2023-07-01,Environmental Services,Place
14242764,"Jackson, Howard",2023-07-01,Environmental Services,Place
14246629,"Curtois, Andrew",2023-07-01,Housing Services,Place
14247228,"Hall, Steven",2023-07-01,Environmental Services,Place
14260488,"James, Hunt",2023-07-01,Environmental Services,Place
14261288,"Leaf, David",2023-07-01,Leisure Parks and Open Spaces,Place
14266384,"James, Hunt",2023-07-01,Parking Enforcement (Bexley and Bromley),Place
14266485,"James, Hunt",2023-07-01,Planning and Regulation,Place
14267184,"James, Hunt",2023-07-01,"Highways, Traffic and Infrastructure",Place
14268384,"James, Hunt",2023-07-01,"Highways, Traffic and Infrastructure",Place
14270984,"Day, Anna",2023-07-01,Environmental Services,Place
14271184,"Borella, Stefano",2023-07-01,"Highways, Traffic and Infrastructure",Place
14272084,"Borella, Stefano",2023-07-01,"Highways, Traffic and Infrastructure",Place
14277680,"Ferguson, Larry",2023-07-01,Environmental Services,Place
14278980,"Day, Anna",2023-07-01,Environmental Services,Place
14285044,"Bishop, Brian",2023-07-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14291608,"French, Louie",2023-07-01,Environmental Services,Place
14291909,"Diment, Richard",2023-07-01,Integrated Services for Older People,Adult Social Care & Health
14300204,"French, Louie",2023-07-01,"Highways, Traffic and Infrastructure",Place
14301668,"Hall, Steven",2023-08-01,"Highways, Traffic and Infrastructure",Place
14301868,"Brooks, Frazer",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14310533,"O'Neill OBE, Teresa",2023-07-01,Housing Services,Place
14310732,"Hall, Steven",2023-07-01,"Highways, Traffic and Infrastructure",Place
14310934,"Ferguson, Larry",2023-07-01,Environmental Services,Place
14317332,"Perfect, Wendy",2023-07-01,Environmental Services,Place
14318732,"Perfect, Wendy",2023-07-01,Libraries and Communities,Place
14337088,"Dourmoush, Andy",2023-08-01,Environmental Services,Place
14337188,"Leaf, David",2023-08-01,"Highways, Traffic and Infrastructure",Place
14343685,"James, Hunt",2023-08-01,"Highways, Traffic and Infrastructure",Place
14348184,"Carew, Bola",2023-08-01,"Highways, Traffic and Infrastructure",Place
14348584,"Perfect, Wendy",2023-08-01,Leisure Parks and Open Spaces,Place
14349484,"Borella, Stefano",2023-08-01,Housing Services,Place
14352216,"Davey, John",2023-08-01,"Highways, Traffic and Infrastructure",Place
14357613,"Hall, Steven",2023-08-01,Environmental Services,Place
14358712,"Jackson, Howard",2023-08-01,"Highways, Traffic and Infrastructure",Place
14364376,"Leaf, David",2023-08-01,Planning and Regulation,Place
14367840,"Curtois, Andrew",2023-08-01,"Highways, Traffic and Infrastructure",Place
14368141,"James, Hunt",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14368540,"James, Hunt",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14379768,"Hall, Steven",2023-08-01,Environmental Services,Place
14389564,"James, Hunt",2023-08-01,Environmental Services,Place
14392928,"Smith, Cameron",2023-08-01,"Highways, Traffic and Infrastructure",Place
14401892,"Slaughter, June",2023-08-01,"Highways, Traffic and Infrastructure",Place
14404892,"Hinkley, Sally",2023-08-01,"Highways, Traffic and Infrastructure",Place
14414084,"Ferguson, Larry",2023-08-01,Housing Services,Place
14414586,"Ferguson, Larry",2023-08-01,Environmental Services,Place
14414684,"Curtois, Andrew",2023-08-01,Planning and Regulation,Place
14419281,"Christoforides, Kurtis",2023-08-01,Planning and Regulation,Place
14419582,"Sandhu, Rags",2023-08-01,"Highways, Traffic and Infrastructure",Place
14419681,"Perfect, Wendy",2023-08-01,"Highways, Traffic and Infrastructure",Place
14419880,"Perfect, Wendy",2023-08-01,Environmental Services,Place
14421180,"Hall, Steven",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14428944,"Hall, Steven",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14435537,"Francis, Daniel",2023-08-01,"Highways, Traffic and Infrastructure",Place
14438136,"Hall, Steven",2023-08-01,Environmental Services,Place
14440736,"O'Neill OBE, Teresa",2023-08-01,Environmental Services,Place
14444364,"Bishop, Brian",2023-08-01,"Highways, Traffic and Infrastructure",Place
14446164,"Hall, Steven",2023-08-01,Planning and Regulation,Place
14446464,"Slaughter, June",2023-08-01,Environmental Services,Place
14449864,"Hall, Steven",2023-08-01,"Highways, Traffic and Infrastructure",Place
14457060,"Christoforides, Kurtis",2023-08-01,"Highways, Traffic and Infrastructure",Place
14460224,"Leaf, David",2023-09-01,Libraries and Communities,Place
14467256,"Newton, Caroline",2023-09-01,"Highways, Traffic and Infrastructure",Place
14467856,"Dourmoush, Andy",2023-09-01,"Highways, Traffic and Infrastructure",Place
14468156,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14468356,"Moore, Lisa-Jane",2023-09-01,"Highways, Traffic and Infrastructure",Place
14472620,"Ferguson, Larry",2023-09-01,Environmental Services,Place
14472820,"Smith, Cameron",2023-09-01,"Highways, Traffic and Infrastructure",Place
14473120,"Ferguson, Larry",2023-09-01,Environmental Services,Place
14474120,"Moore, Lisa-Jane",2023-09-01,"Highways, Traffic and Infrastructure",Place
14474920,"Ferguson, Larry",2023-09-01,Environmental Services,Place
14477720,"O'Neill OBE, Teresa",2023-09-01,"Highways, Traffic and Infrastructure",Place
14484752,"Hinkley, Sally",2023-09-01,"Property, Assets and Facilities Management",Finance
14485852,"Brooks, Frazer",2023-09-01,Environmental Services,Place
14486852,"Bishop, Brian",2023-09-01,Leisure Parks and Open Spaces,Place
14488752,"Carew, Bola",2023-09-01,Parking Enforcement (Bexley and Bromley),Place
14490316,"Bishop, Brian",2023-09-01,"Highways, Traffic and Infrastructure",Place
14493216,"Bishop, Brian",2023-09-01,Housing Services,Place
14496680,"Gower MBE, Sue",2023-09-01,Environmental Services,Place
14497580,"Jackson, Howard",2023-09-01,Environmental Services,Place
14499780,"Jackson, Howard",2023-09-01,"Highways, Traffic and Infrastructure",Place
14502180,"Ferguson, Larry",2023-09-01,Libraries and Communities,Place
14517900,"Ball, Chris",2023-09-01,Environmental Services,Place
14518000,"Christoforides, Kurtis",2023-09-01,Environmental Services,Place
14518600,"Curtois, Andrew",2023-09-01,Environmental Services,Place
14535124,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14537224,"Bishop, Brian",2023-09-01,"Highways, Traffic and Infrastructure",Place
14537424,"Francis, Daniel",2023-09-01,Environmental Services,Place
14541320,"French, Louie",2023-09-01,Environmental Services,Place
14541721,"Ball, Chris",2023-09-01,Environmental Services,Place
14550884,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14556580,"Evennett, David",2023-09-01,Housing Services,Place
14556780,"Ball, Chris",2023-09-01,"Highways, Traffic and Infrastructure",Place
14559080,"O'Neill OBE, Teresa",2023-09-01,Housing Services,Place
14559181,"Francis, Daniel",2023-09-01,"Highways, Traffic and Infrastructure",Place
14560144,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14560244,"Davey, John",2023-09-01,Housing Services,Place
14560345,"Betts, Nigel",2023-09-01,Libraries and Communities,Place
14560644,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14562346,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14562945,"Leaf, David",2023-09-01,Leisure Parks and Open Spaces,Place
14563844,"Ball, Chris",2023-09-01,Libraries and Communities,Place
14568844,"Betts, Nigel",2023-09-01,"Highways, Traffic and Infrastructure",Place
14571272,"Sandhu, Rags",2023-09-01,Environmental Services,Place
14572872,"Gill, Baljeet",2023-09-01,Environmental Services,Place
14573872,"Curtois, Andrew",2023-09-01,Parking Enforcement (Bexley and Bromley),Place
14574672,"Francis, Daniel",2023-09-01,Environmental Services,Place
14576804,"Moore, Lisa-Jane",2023-09-01,Environmental Services,Place
14589960,"James, Hunt",2023-09-01,Housing Services,Place
14590060,"Lucia-Hennis, Geraldene",2023-09-01,"Highways, Traffic and Infrastructure",Place
14599424,"Ferguson, Larry",2023-09-01,Environmental Services,Place
14600124,"Perfect, Wendy",2023-09-01,Leisure Parks and Open Spaces,Place
14601224,"Francis, Daniel",2023-09-01,Environmental Services,Place
14601524,"French, Louie",2023-09-01,Parking Enforcement (Bexley and Bromley),Place
14602224,"Perfect, Wendy",2023-09-01,Environmental Services,Place
14606224,"Oppong-Asare, Abena",2023-09-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14608921,"Hinkley, Sally",2023-10-01,"Highways, Traffic and Infrastructure",Place
14610720,"Hall, Steven",2023-10-01,Environmental Services,Place
14617352,"French, Louie",2023-10-01,Environmental Services,Place
14625784,"Hall, Steven",2023-10-01,Leisure Parks and Open Spaces,Place
14637116,"Perfect, Wendy",2023-10-01,Environmental Services,Place
14637416,"Hall, Steven",2023-10-01,Environmental Services,Place
14638016,"Ward-Wilson, Janice",2023-10-01,"Highways, Traffic and Infrastructure",Place
14643080,"Hall, Steven",2023-10-01,Environmental Services,Place
14643480,"Hall, Steven",2023-10-01,Environmental Services,Place
14644080,"Perfect, Wendy",2023-10-01,"Highways, Traffic and Infrastructure",Place
14644282,"Curtois, Andrew",2023-10-01,"Highways, Traffic and Infrastructure",Place
14644780,"Borella, Stefano",2023-10-01,"Highways, Traffic and Infrastructure",Place
14650576,"Sandhu, Rags",2023-10-01,"Highways, Traffic and Infrastructure",Place
14653876,"French, Louie",2023-10-01,Planning and Regulation,Place
14659940,"Hall, Steven",2023-10-01,Environmental Services,Place
14660940,"Davey, John",2023-10-01,Leisure Parks and Open Spaces,Place
14661940,"Davey, John",2023-10-01,"Highways, Traffic and Infrastructure",Place
14664704,"Day, Anna",2023-10-01,"Highways, Traffic and Infrastructure",Place
14673668,"Borella, Stefano",2023-10-01,Parking Enforcement (Bexley and Bromley),Place
14679696,"Leaf, David",2023-10-01,"Highways, Traffic and Infrastructure",Place
14679896,"Bishop, Brian",2023-10-01,Planning and Regulation,Place
14691924,"Sandhu, Rags",2023-10-01,Environmental Services,Place
14694824,"Curtois, Andrew",2023-10-01,"Highways, Traffic and Infrastructure",Place
14698188,"Borella, Stefano",2023-10-01,Environmental Services,Place
14698388,"Bishop, Brian",2023-10-01,"Highways, Traffic and Infrastructure",Place
14698788,"Hunt, James",2023-10-01,Environmental Services,Place
14698988,"Slaughter, June",2023-10-01,Environmental Services,Place
14706252,"Borella, Stefano",2023-10-01,Environmental Services,Place
14706352,"Borella, Stefano",2023-10-01,Environmental Services,Place
14733940,"O'Neill OBE, Teresa",2023-10-01,Parking Enforcement (Bexley and Bromley),Place
14747296,"Sandhu, Rags",2023-10-01,"Highways, Traffic and Infrastructure",Place
14747496,"Christoforides, Kurtis",2023-10-01,Environmental Services,Place
14747796,"Christoforides, Kurtis",2023-10-01,Environmental Services,Place
14749396,"Borella, Stefano",2023-10-01,Environmental Services,Place
14749496,"Christoforides, Kurtis",2023-10-01,Environmental Services,Place
14758860,"Borella, Stefano",2023-10-01,"Highways, Traffic and Infrastructure",Place
14759060,"Sandhu, Rags",2023-10-01,Environmental Services,Place
14759560,"Gill, Baljeet",2023-10-01,Housing Services,Place
14759660,"Borella, Stefano",2023-10-01,Planning and Regulation,Place
14760860,"Diment, Richard",2023-10-01,Strategic Planning,Place
14766761,"Borella, Stefano",2023-10-01,Environmental Services,Place
14767260,"Borella, Stefano",2023-10-01,"Highways, Traffic and Infrastructure",Place
14770992,"Borella, Stefano",2023-11-01,"Highways, Traffic and Infrastructure",Place
14771192,"Hunt, James",2023-11-01,Libraries and Communities,Place
14774392,"Leaf, David",2023-10-01,Committee Services and Scrutiny,Legal & Democratic Services
14774892,"Davey, John",2023-10-01,"Highways, Traffic and Infrastructure",Place
14778520,"Perfect, Wendy",2023-11-01,0-25 SEND,Educational Achievement & Inclusion
14779220,"Christoforides, Kurtis",2023-11-01,Environmental Services,Place
14784016,"Day, Anna",2023-11-01,"Highways, Traffic and Infrastructure",Place
14791348,"Day, Anna",2023-11-01,"Highways, Traffic and Infrastructure",Place
14791748,"Gower MBE, Sue",2023-11-01,"Highways, Traffic and Infrastructure",Place
14792448,"Leaf, David",2023-11-01,Leisure Parks and Open Spaces,Place
14792548,"Leaf, David",2023-11-01,Leisure Parks and Open Spaces,Place
14797712,"Hall, Steven",2023-11-01,"Highways, Traffic and Infrastructure",Place
14799212,"Leaf, David",2023-11-01,"Highways, Traffic and Infrastructure",Place
14799612,"Hall, Steven",2023-11-01,Leisure Parks and Open Spaces,Place
14800112,"Hall, Steven",2023-11-01,"Highways, Traffic and Infrastructure",Place
14800512,"Ward-Wilson, Janice",2023-11-01,Environmental Services,Place
14803878,"Hall, Steven",2023-11-01,"Highways, Traffic and Infrastructure",Place
14804378,"Day, Anna",2023-11-01,"Highways, Traffic and Infrastructure",Place
14823768,"Leaf, David",2023-11-01,"Highways, Traffic and Infrastructure",Place
14826868,"O'Neill OBE, Teresa",2023-11-01,"Highways, Traffic and Infrastructure",Place
14830400,"Sandhu, Rags",2023-11-01,"Highways, Traffic and Infrastructure",Place
14839432,"Catterall, Christine",2023-11-01,Environmental Services,Place
14839732,"Day, Anna",2023-11-01,Environmental Services,Place
14859860,"Hall, Steven",2023-11-01,Leisure Parks and Open Spaces,Place
14860760,"Leaf, David",2023-11-01,Libraries and Communities,Place
14865192,"Ferguson, Larry",2023-11-01,Environmental Services,Place
14865392,"Ferguson, Larry",2023-11-01,Environmental Services,Place
14871824,"Ferguson, Larry",2023-11-01,"Highways, Traffic and Infrastructure",Place
14872824,"Christoforides, Kurtis",2023-11-01,Environmental Services,Place
14877620,"Francis, Daniel",2023-11-01,"Highways, Traffic and Infrastructure",Place
14882252,"Borella, Stefano",2023-11-01,"Highways, Traffic and Infrastructure",Place
14883152,"Curtois, Andrew",2023-11-01,Environmental Services,Place
14889884,"Curtois, Andrew",2023-11-01,Housing Services,Place
14890084,"Curtois, Andrew",2023-11-01,"Highways, Traffic and Infrastructure",Place
14896416,"Gower MBE, Sue",2023-11-01,Leisure Parks and Open Spaces,Place
14897516,"Hall, Steven",2023-11-01,Economic Skills and Development,Place
14898816,"Hall, Steven",2023-11-01,"Highways, Traffic and Infrastructure",Place
14902848,"Slaughter, June",2023-11-01,"Highways, Traffic and Infrastructure",Place
14904248,"Jackson, Howard",2023-11-01,"Highways, Traffic and Infrastructure",Place
14915644,"Ward-Wilson, Janice",2023-12-01,Environmental Services,Place
14916044,"French, Louie",2023-11-01,"Highways, Traffic and Infrastructure",Place
14919344,"Sandhu, Rags",2023-12-01,Planning and Regulation,Place
14923208,"Sandhu, Rags",2023-12-01,"Highways, Traffic and Infrastructure",Place
14925408,"Francis, Daniel",2023-12-01,Planning and Regulation,Place
14928440,"Jackson, Howard",2023-12-01,Environmental Services,Place
14929040,"Day, Anna",2023-12-01,Leisure Parks and Open Spaces,Place
14931340,"Ferguson, Larry",2023-12-01,Environmental Services,Place
14936604,"Sandhu, Rags",2023-12-01,Environmental Services,Place
14940536,"Francis, Daniel",2023-12-01,Public Health,Adult Social Care & Health
14942036,"Brooks, Frazer",2023-12-01,"Highways, Traffic and Infrastructure",Place
14942136,"Sandhu, Rags",2023-12-01,"Highways, Traffic and Infrastructure",Place
14948568,"Gill, Baljeet",2023-12-01,Environmental Services,Place
14952132,"Leaf, David",2023-12-01,Planning and Regulation,Place
14961896,"Slaughter, June",2023-12-01,Leisure Parks and Open Spaces,Place
14962196,"Francis, Daniel",2023-12-01,Housing Services,Place
14962296,"Ball, Chris",2023-12-01,Housing Services,Place
14963096,"Perfect, Wendy",2023-12-01,Planning and Regulation,Place
14964696,"Christoforides, Kurtis",2023-12-01,Environmental Services,Place
14968360,"James, Hunt",2023-12-01,"Highways, Traffic and Infrastructure",Place
14968660,"Bishop, Brian",2023-12-01,Planning and Regulation,Place
14969060,"Leaf, David",2023-12-01,Planning and Regulation,Place
14969760,"Francis, Daniel",2023-12-01,Public Health,Adult Social Care & Health
14979492,"Leaf, David",2023-12-01,Leisure Parks and Open Spaces,Place
14987552,"Hall, Steven",2023-12-01,Environmental Services,Place
14988752,"Sandhu, Rags",2023-12-01,"Highways, Traffic and Infrastructure",Place
14991352,"James, Hunt",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
14991752,"Perfect, Wendy",2023-12-01,Environmental Services,Place
14992352,"Hall, Steven",2023-12-01,Leisure Parks and Open Spaces,Place
14997984,"Perfect, Wendy",2023-12-01,Housing Services,Place
15000985,"Hall, Steven",2023-12-01,Environmental Services,Place
15001784,"Hunt, James",2023-12-01,"Highways, Traffic and Infrastructure",Place
15004448,"Ward-Wilson, Janice",2023-12-01,Environmental Services,Place
15010180,"Ward-Wilson, Janice",2023-12-01,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
15027872,"Sandhu, Rags",2024-01-01,Environmental Services,Place
15028772,"Hall, Steven",2024-01-01,"Highways, Traffic and Infrastructure",Place
15029404,"Borella, Stefano",2024-01-01,"Property, Assets and Facilities Management",Finance
15030004,"James, Hunt",2024-01-01,Leisure Parks and Open Spaces,Place
15033636,"Bishop, Brian",2024-01-01,"Highways, Traffic and Infrastructure",Place
15036736,"Diment, Richard",2024-01-01,"Highways, Traffic and Infrastructure",Place
15037236,"Day, Anna",2024-01-01,"Highways, Traffic and Infrastructure",Place
15037836,"James, Hunt",2024-01-01,Libraries and Communities,Place
15041468,"Hall, Steven",2024-01-01,Leisure Parks and Open Spaces,Place
15041568,"Christoforides, Kurtis",2024-01-01,Leisure Parks and Open Spaces,Place
15043468,"Gill, Baljeet",2024-01-01,"Highways, Traffic and Infrastructure",Place
15048164,"Diment, Richard",2024-01-01,"Highways, Traffic and Infrastructure",Place
15053596,"Leaf, David",2024-01-01,"Property, Assets and Facilities Management",Finance
15054396,"French, Louie",2024-01-01,Housing Services,Place
15067724,"Perfect, Wendy",2024-01-01,Planning and Regulation,Place
15068824,"Perfect, Wendy",2024-01-01,Housing Services,Place
15069524,"Reader, Peter",2024-01-01,Leisure Parks and Open Spaces,Place
15072688,"Christoforides, Kurtis",2024-01-01,Planning and Regulation,Place
15076116,"James, Hunt",2024-01-01,Environmental Services,Place
15077316,"James, Hunt",2024-01-01,"Highways, Traffic and Infrastructure",Place
15080748,"Day, Anna",2024-01-01,Planning and Regulation,Place
15081448,"Moore, Lisa-Jane",2024-01-01,Leisure Parks and Open Spaces,Place
15082048,"James, Hunt",2024-01-01,"Highways, Traffic and Infrastructure",Place
15082148,"James, Hunt",2024-01-01,"Highways, Traffic and Infrastructure",Place
15090713,"James, Hunt",2024-01-01,Planning and Regulation,Place
15091412,"Sandhu, Rags",2024-01-01,Environmental Services,Place
15092412,"Jackson, Howard",2024-01-01,Planning and Regulation,Place
15094412,"Curtois, Andrew",2024-01-01,Environmental Services,Place
15098712,"Slaughter, June",2024-01-01,Leisure Parks and Open Spaces,Place
15099613,"Ferguson, Larry",2024-01-01,Housing Services,Place
15114208,"Sandhu, Rags",2024-01-01,"Property, Assets and Facilities Management",Finance
15114908,"Carew, Bola",2024-01-01,Planning and Regulation,Place
15124472,"Leaf, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15124872,"Leaf, David",2024-01-01,Exchequer Services,Finance
15131604,"Perfect, Wendy",2024-01-01,"Highways, Traffic and Infrastructure",Place
15136636,"James, Hunt",2024-01-01,Environmental Services,Place
15138336,"Leaf, David",2024-01-01,Libraries and Communities,Place
15139536,"Leaf, David",2024-01-01,Leisure Parks and Open Spaces,Place
15140636,"O'Hare, Nick",2024-01-01,Environmental Services,Place
15140637,"Curtois, Andrew",2024-01-01,Environmental Services,Place
15141037,"Curtois, Andrew",2024-01-01,"Highways, Traffic and Infrastructure",Place
15146068,"Leaf, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15146968,"Hinkley, Sally",2024-01-01,"Highways, Traffic and Infrastructure",Place
15147468,"Sandhu, Rags",2024-01-01,Customer Services & Business Support,Corporate Services
15153532,"Curtois, Andrew",2024-01-01,"Highways, Traffic and Infrastructure",Place
15155532,"Borella, Stefano",2024-01-01,Corporate Finance,Finance
15156164,"Borella, Stefano",2024-01-01,"Highways, Traffic and Infrastructure",Place
15163796,"O'Hare, Nick",2024-01-01,Environmental Services,Place
15169624,"Sandhu, Rags",2024-01-01,Planning and Regulation,Place
15170324,"Leaf, David",2024-01-01,Member enquiries,Corporate Services
15170724,"French, Louie",2024-01-01,"Highways, Traffic and Infrastructure",Place
15174288,"Taylor, Nicola",2024-01-01,Environmental Services,Place
15174488,"Hinkley, Sally",2024-01-01,Leisure Parks and Open Spaces,Place
15176989,"Read, Philip",2024-01-01,Parking Enforcement (Bexley and Bromley),Place
15178988,"Evennett, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15190848,"Christoforides, Kurtis",2024-02-01,"Highways, Traffic and Infrastructure",Place
15194048,"Read, Philip",2024-02-01,Environmental Services,Place
15197344,"Curtois, Andrew",2024-02-01,Leisure Parks and Open Spaces,Place
15198944,"Sandhu, Rags",2024-02-01,"Highways, Traffic and Infrastructure",Place
15201144,"Francis, Daniel",2024-02-01,Planning and Regulation,Place
15206304,"Read, Philip",2024-02-01,Environmental Services,Place
15209336,"O'Hare, Nick",2024-02-01,Leisure Parks and Open Spaces,Place
15209436,"Sandhu, Rags",2024-02-01,"Highways, Traffic and Infrastructure",Place
15212136,"Read, Philip",2024-02-01,Environmental Services,Place
15218668,"Sandhu, Rags",2024-02-01,Libraries and Communities,Place
15234788,"Ferguson, Larry",2024-02-01,Environmental Services,Place
15234789,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15235088,"Borella, Stefano",2024-02-01,Environmental Services,Place
15235589,"Leaf, David",2024-02-01,Corporate Finance,Finance
15237488,"Day, Anna",2024-02-01,"Highways, Traffic and Infrastructure",Place
15237688,"Curtois, Andrew",2024-02-01,"Highways, Traffic and Infrastructure",Place
15238588,"Curtois, Andrew",2024-02-01,Environmental Services,Place
15238988,"Jackson, Howard",2024-02-01,"Highways, Traffic and Infrastructure",Place
15239888,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15240388,"Borella, Stefano",2024-02-01,"Property, Assets and Facilities Management",Finance
15242785,"Ward-Wilson, Janice",2024-02-01,Environmental Services,Place
15242984,"Jackson, Howard",2024-02-01,"Property, Assets and Facilities Management",Finance
15246780,"Ball, Chris",2024-02-01,"Highways, Traffic and Infrastructure",Place
15248780,"Christoforides, Kurtis",2024-02-01,"Highways, Traffic and Infrastructure",Place
15256344,"Bishop, Brian",2024-02-01,Environmental Services,Place
15265840,"Slaughter, June",2024-02-01,Environmental Services,Place
15265941,"James, Hunt",2024-02-01,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
15266140,"Ward-Wilson, Janice",2024-02-01,Housing Services,Place
15266540,"Ward-Wilson, Janice",2024-02-01,Planning and Regulation,Place
15267440,"Carew, Bola",2024-02-01,"Highways, Traffic and Infrastructure",Place
15270040,"O'Neill OBE, Teresa",2024-02-01,Planning and Regulation,Place
15270340,"Leaf, David",2024-02-01,Parking Enforcement (Bexley and Bromley),Place
15270540,"Christoforides, Kurtis",2024-02-01,Parking Enforcement (Bexley and Bromley),Place
15274240,"Francis, Daniel",2024-02-01,"Property, Assets and Facilities Management",Finance
15276236,"James, Hunt",2024-02-01,Leisure Parks and Open Spaces,Place
15276436,"Perfect, Wendy",2024-02-01,Planning and Regulation,Place
15284400,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15284700,"Craske, Peter",2024-02-01,Leisure Parks and Open Spaces,Place
15286700,"Carew, Bola",2024-02-01,Environmental Services,Place
15287500,"James, Hunt",2024-02-01,Libraries and Communities,Place
15287800,"Leaf, David",2024-02-01,"Property, Assets and Facilities Management",Finance
15290864,"Carew, Bola",2024-02-01,Environmental Services,Place
15303952,"Gower MBE, Sue",2024-02-01,Environmental Services,Place
15304652,"French, Louie",2024-02-01,Integrated Commissioning,Adult Social Care & Health
15304852,"Francis, Daniel",2024-02-01,"Highways, Traffic and Infrastructure",Place
15310180,"Day, Anna",2024-02-01,Leisure Parks and Open Spaces,Place
15314544,"Adams, Patrick ",2024-02-01,Environmental Services,Place
15316944,"Perfect, Wendy",2024-02-01,"Highways, Traffic and Infrastructure",Place
15317144,"Day, Anna",2024-02-01,Strategic Planning,Place
15328036,"Sandhu, Rags",2024-03-01,Environmental Services,Place
15333332,"Slaughter, June",2024-03-01,Environmental Services,Place
15335032,"Seymour, Melvin",2024-03-01,Housing Services,Place
15350320,"Bishop, Brian",2024-03-01,"Highways, Traffic and Infrastructure",Place
15356784,"Smith, Cameron",2024-03-01,Leisure Parks and Open Spaces,Place
