Ref,Date received,Councillor,Service area,Directorate
12026332,03/05/2022,"Borella, Stefano",Environmental Services,Place
12027032,03/05/2022,"Borella, Stefano",Environmental Services,Place
12030164,03/05/2022,"Campbell, Duncan","Highways, Traffic and Infrastructure",Place
12030167,03/05/2022,"Davey, John",Environmental Services,Place
12027132,03/05/2022,"Evennett, David",Housing Services,Place
12024732,03/05/2022,"French, Louie",Housing Services,Place
12033164,03/05/2022,"French, Louie",Planning and Regulation,Place
12019032,03/05/2022,"Gower MBE, Sue",Environmental Services,Place
12034764,03/05/2022,"Hall, Steven",Environmental Services,Place
12079124,03/05/2022,"Hall, Steven","Looked after Children, Permanence and Specialist Services",Childrens Social Care
12032964,03/05/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12040764,03/05/2022,"Hall, Steven",Environmental Services,Place
12024532,03/05/2022,"Munur, Cafer",Leisure Parks and Open Spaces,Place
12019732,03/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12017132,03/05/2022,"O'Neill OBE, Teresa",Leisure Parks and Open Spaces,Place
12022432,03/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12022633,03/05/2022,"Oppong-Asare, Abena",Parking Enforcement (Bexley and Bromley),Place
12033664,03/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12039364,04/05/2022,"Campbell, Duncan","Highways, Traffic and Infrastructure",Place
12036865,04/05/2022,"Evennett, David",Exchequer Services,Finance
12037664,04/05/2022,"Evennett, David",Housing Services,Place
12031164,04/05/2022,"French, Louie",Housing Services,Place
12047566,04/05/2022,"French, Louie",Environmental Services,Place
12030664,04/05/2022,"Hall, Steven",Environmental Services,Place
12114188,04/05/2022,"Holding, Angela",Housing Services,Place
12142081,04/05/2022,"Holding, Angela",Housing Services,Place
12032364,04/05/2022,"Leaf, David",Planning and Regulation,Place
12033165,04/05/2022,"Leaf, David",Environmental Services,Place
12048464,04/05/2022,"Leaf, David",Leisure Parks and Open Spaces,Place
12030165,04/05/2022,"Oppong-Asare, Abena",Environmental Services,Place
12103756,05/05/2022,"Holding, Angela",Planning and Regulation,Place
12084024,05/05/2022,"Leaf, David",Exchequer Services,Finance
12084025,05/05/2022,"Leaf, David",Exchequer Services,Finance
12077724,06/05/2022,"Leaf, David",Exchequer Services,Finance
12080124,06/05/2022,"Leaf, David",Exchequer Services,Finance
12081824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12082824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12082924,06/05/2022,"Leaf, David",Exchequer Services,Finance
12083624,06/05/2022,"Leaf, David",Exchequer Services,Finance
12083824,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109390,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109889,06/05/2022,"Leaf, David",Exchequer Services,Finance
12109991,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110288,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110388,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110488,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110588,06/05/2022,"Leaf, David",Exchequer Services,Finance
12110888,06/05/2022,"Leaf, David",Exchequer Services,Finance
12116188,06/05/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12109688,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109788,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109988,07/05/2022,"Leaf, David",Exchequer Services,Finance
12109989,08/05/2022,"Leaf, David",Exchequer Services,Finance
12092224,09/05/2022,"Evennett, David","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12097156,09/05/2022,"Evennett, David",Housing Services,Place
12103857,09/05/2022,"Evennett, David","Highways, Traffic and Infrastructure",Place
12116888,09/05/2022,"Evennett, David",HR Operations,Corporate Services
12102356,09/05/2022,"French, Louie",Environmental Services,Place
12149744,09/05/2022,"Gower MBE, Sue",Housing Services,Place
12101258,09/05/2022,"Leaf, David",Exchequer Services,Finance
12109389,09/05/2022,"Leaf, David",Exchequer Services,Finance
12109990,09/05/2022,"Leaf, David",Exchequer Services,Finance
12110788,09/05/2022,"Leaf, David",Exchequer Services,Finance
12110988,09/05/2022,"Leaf, David",Exchequer Services,Finance
12078324,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12078024,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12116789,09/05/2022,"Newton, Caroline","Highways, Traffic and Infrastructure",Place
12112388,09/05/2022,"Ogundayo, Mabel","Highways, Traffic and Infrastructure",Place
12103056,09/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12111688,09/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12100057,10/05/2022,"Campbell, Duncan",Parking Enforcement (Bexley and Bromley),Place
12099856,10/05/2022,"Evennett, David",0-25 SEND,Educational Achievement & Inclusion
12101256,10/05/2022,"Evennett, David",Exchequer Services,Finance
12097656,10/05/2022,"French, Louie",Housing Services,Place
12103556,10/05/2022,"French, Louie",Housing Services,Place
12102656,10/05/2022,"Hall, Steven",Environmental Services,Place
12109589,10/05/2022,"Leaf, David",Exchequer Services,Finance
12109590,10/05/2022,"Leaf, David",Exchequer Services,Finance
12098756,10/05/2022,"Leaf, David",Exchequer Services,Finance
12104056,10/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12114588,10/05/2022,"Oppong-Asare, Abena","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12114888,10/05/2022,"Perfect, Wendy",Environmental Services,Place
12122921,10/05/2022,"Perfect, Wendy",Environmental Services,Place
12126520,10/05/2022,"Slaughter, June",Environmental Services,Place
12099656,10/05/2022,"Taylor, Christopher",Environmental Services,Place
12115088,11/05/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12116889,11/05/2022,"French, Louie",Housing Services,Place
12124021,11/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12121520,11/05/2022,"Hall, Steven",Environmental Services,Place
12122420,11/05/2022,"Holding, Angela",Housing Services,Place
12123124,11/05/2022,"Holding, Angela",Environmental Services,Place
12114288,11/05/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12109588,11/05/2022,"Leaf, David",Exchequer Services,Finance
12109888,11/05/2022,"Leaf, David",Exchequer Services,Finance
12110989,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111089,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111888,11/05/2022,"Leaf, David",Exchequer Services,Finance
12111988,11/05/2022,"Leaf, David",Exchequer Services,Finance
12112088,11/05/2022,"Leaf, David",Exchequer Services,Finance
12112089,11/05/2022,"Leaf, David",Exchequer Services,Finance
12114388,11/05/2022,"Leaf, David",Exchequer Services,Finance
12116788,11/05/2022,"Leaf, David",Exchequer Services,Finance
12119288,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121220,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121620,11/05/2022,"Leaf, David",Exchequer Services,Finance
12121720,11/05/2022,"Leaf, David",Exchequer Services,Finance
12119388,11/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12123320,11/05/2022,"Leaf, David","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12115488,11/05/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12115788,11/05/2022,"Oppong-Asare, Abena",Planning and Regulation,Place
12112090,11/05/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12123321,11/05/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12125520,11/05/2022,"Perfect, Wendy",Environmental Services,Place
12126620,11/05/2022,"Perfect, Wendy",Environmental Services,Place
12119188,11/05/2022,"Taylor, Nicola","Highways, Traffic and Infrastructure",Place
12126720,12/05/2022,"Gower MBE, Sue",Environmental Services,Place
12124020,12/05/2022,"Holding, Angela",Environmental Services,Place
12133848,12/05/2022,"Leaf, David",Exchequer Services,Finance
12134950,12/05/2022,"Munur, Cafer",0-25 SEND,Educational Achievement & Inclusion
12124121,12/05/2022,"O'Neill OBE, Teresa",Housing Services,Place
12122722,12/05/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12136748,12/05/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12125123,12/05/2022,"Taylor, Nicola",Economic Skills and Development,Place
12122720,12/05/2022,"Taylor, Nicola",Environmental Services,Place
12134548,13/05/2022,"Holding, Angela",Environmental Services,Place
12140580,13/05/2022,"Taylor, Nicola","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12141583,13/05/2022,"Taylor, Nicola","Highways, Traffic and Infrastructure",Place
12132550,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132748,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132749,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132848,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132948,14/05/2022,"Leaf, David",Exchequer Services,Finance
12133248,14/05/2022,"Leaf, David",Exchequer Services,Finance
12133348,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134248,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134348,14/05/2022,"Leaf, David",Exchequer Services,Finance
12134448,14/05/2022,"Leaf, David",Exchequer Services,Finance
12132248,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132548,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132549,15/05/2022,"Leaf, David",Exchequer Services,Finance
12132648,15/05/2022,"Leaf, David",Exchequer Services,Finance
12134048,15/05/2022,"Leaf, David",Exchequer Services,Finance
12139680,16/05/2022,"Amaning, Esther",Leisure Parks and Open Spaces,Place
12134948,16/05/2022,"Bishop, Brian",Leisure Parks and Open Spaces,Place
12140180,16/05/2022,"Bishop, Brian",Environmental Services,Place
12140380,16/05/2022,"Bishop, Brian",Environmental Services,Place
12135448,16/05/2022,"French, Louie",Housing Services,Place
12135948,16/05/2022,"Gower MBE, Sue","Highways, Traffic and Infrastructure",Place
12141581,16/05/2022,"Holding, Angela",Environmental Services,Place
12141880,16/05/2022,"Holding, Angela",Environmental Services,Place
12138048,16/05/2022,"Leaf, David",Exchequer Services,Finance
12139480,16/05/2022,"Leaf, David",Exchequer Services,Finance
12139581,16/05/2022,"Leaf, David",Exchequer Services,Finance
12140682,16/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12133548,16/05/2022,"Oppong-Asare, Abena",Planning and Regulation,Place
12141380,16/05/2022,"Read, Philip","Highways, Traffic and Infrastructure",Place
12145844,17/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12146644,17/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12144644,17/05/2022,"Gower MBE, Sue",Leisure Parks and Open Spaces,Place
12144544,17/05/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12145645,17/05/2022,"Jackson, Howard","Highways, Traffic and Infrastructure",Place
12139580,17/05/2022,"Leaf, David",Exchequer Services,Finance
12139681,17/05/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12145446,17/05/2022,"Leaf, David",Exchequer Services,Finance
12144745,17/05/2022,"Munur, Cafer","Highways, Traffic and Infrastructure",Place
12139280,17/05/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12141080,17/05/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12169341,18/05/2022,"Bishop, Brian","Highways, Traffic and Infrastructure",Place
12155679,18/05/2022,"Di Netimah, Felix",Environmental Services,Place
12146744,18/05/2022,"Hall, Steven",Environmental Services,Place
12146444,18/05/2022,"Holding, Angela",Leisure Parks and Open Spaces,Place
12147245,18/05/2022,"Holding, Angela",Environmental Services,Place
12149844,18/05/2022,"Holding, Angela",Environmental Services,Place
12148344,18/05/2022,"Leaf, David",Exchequer Services,Finance
12148544,18/05/2022,"Leaf, David",Exchequer Services,Finance
12148744,18/05/2022,"Leaf, David",Exchequer Services,Finance
12148844,18/05/2022,"Leaf, David",Exchequer Services,Finance
12150144,18/05/2022,"Leaf, David",Exchequer Services,Finance
12151344,18/05/2022,"Leaf, David",Exchequer Services,Finance
12151444,18/05/2022,"Leaf, David",Exchequer Services,Finance
12158477,18/05/2022,"Leaf, David",Exchequer Services,Finance
12171340,18/05/2022,"Leaf, David",Exchequer Services,Finance
12171840,18/05/2022,"Leaf, David",Exchequer Services,Finance
12171940,18/05/2022,"Leaf, David",Exchequer Services,Finance
12172040,18/05/2022,"Leaf, David",Exchequer Services,Finance
12170440,18/05/2022,"Lucia-Hennis, Geraldene","Highways, Traffic and Infrastructure",Place
12146145,18/05/2022,"Perfect, Wendy","Property, Assets and Facilities Management",Finance
12145444,18/05/2022,"Sandhu, Rags",Environmental Services,Place
12171740,19/05/2022,"Davey, John","Highways, Traffic and Infrastructure",Place
12173540,19/05/2022,"Davey, John",Environmental Services,Place
12176073,19/05/2022,"Davey, John","Highways, Traffic and Infrastructure",Place
12155676,19/05/2022,"Hinkley, Sally",Housing Services,Place
12159276,19/05/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12155576,19/05/2022,"Leaf, David",Exchequer Services,Finance
12155577,19/05/2022,"Leaf, David",Exchequer Services,Finance
12167540,19/05/2022,"Leaf, David",Exchequer Services,Finance
12167640,19/05/2022,"Leaf, David",Exchequer Services,Finance
12155076,19/05/2022,"Moore, Lisa-Jane",Leisure Parks and Open Spaces,Place
12158476,19/05/2022,"Read, Philip",Environmental Services,Place
12193969,20/05/2022,"Asunramu, Zainab",Complex Care,Adult Social Care & Health
12163608,20/05/2022,"Curtois, Andrew",Leisure Parks and Open Spaces,Place
12165808,20/05/2022,"Ferguson, Larry","Highways, Traffic and Infrastructure",Place
12170041,20/05/2022,"Ferguson, Larry",Environmental Services,Place
12163808,20/05/2022,"Leaf, David",Exchequer Services,Finance
12164308,20/05/2022,"Leaf, David",Exchequer Services,Finance
12168741,20/05/2022,"Leaf, David",Exchequer Services,Finance
12169340,20/05/2022,"Leaf, David",Exchequer Services,Finance
12173940,20/05/2022,"Leaf, David",Exchequer Services,Finance
12163208,20/05/2022,"Leaf, David",Exchequer Services,Finance
12169940,20/05/2022,"Slaughter, June",Environmental Services,Place
12169240,21/05/2022,"Leaf, David",Exchequer Services,Finance
12218560,21/05/2022,"Leaf, David",Exchequer Services,Finance
12218260,22/05/2022,"Leaf, David",Exchequer Services,Finance
12186204,23/05/2022,"Borella, Stefano","Highways, Traffic and Infrastructure",Place
12167940,23/05/2022,"Christoforides, Kurtis",Environmental Services,Place
12168740,23/05/2022,"Christoforides, Kurtis",Leisure Parks and Open Spaces,Place
12183804,23/05/2022,"Davey, John",Environmental Services,Place
12175372,23/05/2022,"Evennett, David",Housing Services,Place
12177672,23/05/2022,"Holding, Angela",Environmental Services,Place
12175972,23/05/2022,"Holding, Angela",Legal Services,Legal & Democratic Services
12168941,23/05/2022,"Leaf, David",Exchequer Services,Finance
12175672,23/05/2022,"Leaf, David",Exchequer Services,Finance
12216765,23/05/2022,"Leaf, David",Exchequer Services,Finance
12217460,23/05/2022,"Leaf, David",Exchequer Services,Finance
12218461,23/05/2022,"Leaf, David",Exchequer Services,Finance
12220561,23/05/2022,"Leaf, David",Exchequer Services,Finance
12176772,23/05/2022,"Leaf, David",Exchequer Services,Finance
12173140,23/05/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12183904,24/05/2022,"Davey, John","Highways, Traffic and Infrastructure",Place
12176572,24/05/2022,"French, Louie",Planning and Regulation,Place
12175172,24/05/2022,"Hall, Steven",Environmental Services,Place
12190768,24/05/2022,"Hall, Steven",Environmental Services,Place
12175373,24/05/2022,"Holding, Angela",Exchequer Services,Finance
12184104,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216462,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216560,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216760,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216762,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216763,24/05/2022,"Leaf, David",Exchequer Services,Finance
12216764,24/05/2022,"Leaf, David",Exchequer Services,Finance
12217260,24/05/2022,"Leaf, David",Exchequer Services,Finance
12217360,24/05/2022,"Leaf, David",Exchequer Services,Finance
12185204,24/05/2022,"Newton, Caroline",Early Intervention & Specialist Teachers,Educational Achievement & Inclusion
12182204,24/05/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12176673,24/05/2022,"Perfect, Wendy",Housing Services,Place
12184504,25/05/2022,"Bishop, Brian",Environmental Services,Place
12190368,25/05/2022,"Borella, Stefano","Highways, Traffic and Infrastructure",Place
12183504,25/05/2022,"Evennett, David",Public Health,Adult Social Care & Health
12186604,25/05/2022,"Evennett, David",Housing Services,Place
12185404,25/05/2022,"French, Louie","Corporate HR, Organisational Learning and Development",Corporate Services
12189568,25/05/2022,"Gower MBE, Sue",Environmental Services,Place
12183905,25/05/2022,"Gower MBE, Sue",Environmental Services,Place
12182504,25/05/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12216364,25/05/2022,"Leaf, David",Exchequer Services,Finance
12216460,25/05/2022,"Leaf, David",Exchequer Services,Finance
12190268,25/05/2022,"Oppong-Asare, Abena",Housing Services,Place
12185805,25/05/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12182104,25/05/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12186305,25/05/2022,"Reader, Peter","Highways, Traffic and Infrastructure",Place
12190068,25/05/2022,"Reader, Peter","Highways, Traffic and Infrastructure",Place
12212629,26/05/2022,"Amaning, Esther",Environmental Services,Place
12212628,26/05/2022,"Campbell, Duncan",Environmental Services,Place
12210128,26/05/2022,"Evennett, David",Public Health,Adult Social Care & Health
12196068,26/05/2022,"French, Louie",Exchequer Services,Finance
12196768,26/05/2022,"French, Louie",Planning and Regulation,Place
12197568,26/05/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12198068,26/05/2022,"French, Louie",Risk and Assurance,Finance
12208228,26/05/2022,"French, Louie",Exchequer Services,Finance
12197468,26/05/2022,"Leaf, David",Exchequer Services,Finance
12216363,26/05/2022,"Leaf, David",Exchequer Services,Finance
12216461,26/05/2022,"Leaf, David",Exchequer Services,Finance
12193169,26/05/2022,"Oppong-Asare, Abena",Environmental Services,Place
12189769,26/05/2022,"Perfect, Wendy",Environmental Services,Place
12193668,26/05/2022,"Perfect, Wendy",Environmental Services,Place
12195668,26/05/2022,"Perfect, Wendy",Environmental Services,Place
12195768,26/05/2022,"Perfect, Wendy",Environmental Services,Place
12192568,26/05/2022,"Reader, Peter",Housing Services,Place
12191268,26/05/2022,"Taylor, Nicola",Complex Care,Adult Social Care & Health
12214728,27/05/2022,"Amaning, Esther",Housing Services,Place
12207428,27/05/2022,"Borella, Stefano",Housing Services,Place
12209028,27/05/2022,"Evennett, David",Housing Services,Place
12214928,27/05/2022,"Hall, Steven",Environmental Services,Place
12205529,27/05/2022,"Leaf, David",Exchequer Services,Finance
12216361,27/05/2022,"Leaf, David",Exchequer Services,Finance
12216362,27/05/2022,"Leaf, David",Exchequer Services,Finance
12205528,29/05/2022,"Leaf, David",Exchequer Services,Finance
12205428,29/05/2022,"Leaf, David",Leisure Parks and Open Spaces,Place
12213328,30/05/2022,"Bishop, Brian",Housing Services,Place
12210728,30/05/2022,"Borella, Stefano",Housing Services,Place
12228124,30/05/2022,"Borella, Stefano","Highways, Traffic and Infrastructure",Place
12218760,30/05/2022,"Gower MBE, Sue",Environmental Services,Place
12249648,30/05/2022,"Hunt, James",Housing Services,Place
12205730,30/05/2022,"Leaf, David",Exchequer Services,Finance
12217261,30/05/2022,"Leaf, David",Exchequer Services,Finance
12205728,30/05/2022,"Newton, Caroline","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12206128,30/05/2022,"Newton, Caroline",Parking Enforcement (Bexley and Bromley),Place
12217760,30/05/2022,"Ogundayo, Mabel",Leisure Parks and Open Spaces,Place
12205628,30/05/2022,"Oppong-Asare, Abena",Complex Care,Adult Social Care & Health
12214328,30/05/2022,"Oppong-Asare, Abena",Environmental Services,Place
12210928,30/05/2022,"Sandhu, Rags",Parking Enforcement (Bexley and Bromley),Place
12221961,31/05/2022,"Dourmoush, Andy",Housing Services,Place
12220361,31/05/2022,"French, Louie",Environmental Services,Place
12221560,31/05/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12223724,31/05/2022,"French, Louie",Housing Services,Place
12216360,31/05/2022,"Leaf, David",Exchequer Services,Finance
12217860,31/05/2022,"Leaf, David",Exchequer Services,Finance
12218460,31/05/2022,"Leaf, David",Exchequer Services,Finance
12218660,31/05/2022,"Leaf, David",Exchequer Services,Finance
12220660,31/05/2022,"Leaf, David",Exchequer Services,Finance
12223424,31/05/2022,"Leaf, David",Exchequer Services,Finance
12223425,31/05/2022,"Leaf, David",Exchequer Services,Finance
12223524,31/05/2022,"Leaf, David",Exchequer Services,Finance
12223525,31/05/2022,"Leaf, David",Exchequer Services,Finance
12223624,31/05/2022,"Leaf, David",Exchequer Services,Finance
12226925,31/05/2022,"Leaf, David",Exchequer Services,Finance
12218960,31/05/2022,"Leaf, David","Property, Assets and Facilities Management",Finance
12216060,31/05/2022,"O'Neill OBE, Teresa",Planning and Regulation,Place
12228425,01/06/2022,"French, Louie",Housing Services,Place
12226825,01/06/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12228324,01/06/2022,"Johnson MP, Gareth",0-25 SEND,Educational Achievement & Inclusion
12225424,01/06/2022,"Ogundayo, Mabel",Environmental Services,Place
12228624,01/06/2022,"Oppong-Asare, Abena","Highways, Traffic and Infrastructure",Place
12238120,06/06/2022,"Adams, Patrick ","Highways, Traffic and Infrastructure",Place
12234521,06/06/2022,"Amaning, Esther",Environmental Services,Place
12237520,06/06/2022,"French, Louie",Environmental Services,Place
12248448,06/06/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12238721,06/06/2022,"French, Louie",Parking Enforcement (Bexley and Bromley),Place
12237920,06/06/2022,"Gill, Baljeet",Planning and Regulation,Place
12231720,06/06/2022,"Leaf, David",Planning and Regulation,Place
12238223,06/06/2022,"Leaf, David",Strategic Planning,Place
12238520,06/06/2022,"Leaf, David",Planning and Regulation,Place
12238220,06/06/2022,"O'Neill OBE, Teresa",Strategic Planning,Place
12233120,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12233720,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12234120,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12234520,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12238621,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12240216,06/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12252280,06/06/2022,"Read, Philip","Highways, Traffic and Infrastructure",Place
12245216,06/06/2022,"Reader, Peter",Planning and Regulation,Place
12231120,06/06/2022,"Reader, Peter",Parking Enforcement (Bexley and Bromley),Place
12242916,07/06/2022,"Bacon, Cheryl",Leisure Parks and Open Spaces,Place
12247949,07/06/2022,"Bacon, Cheryl",Environmental Services,Place
12244816,07/06/2022,"Ball, Chris",Environmental Services,Place
12245816,07/06/2022,"Christoforides, Kurtis","Highways, Traffic and Infrastructure",Place
12245717,07/06/2022,"French, Louie",Public Health,Adult Social Care & Health
12248848,07/06/2022,"French, Louie",Planning and Regulation,Place
12248648,07/06/2022,"Hall, Steven",Environmental Services,Place
12242116,07/06/2022,"Leaf, David",Exchequer Services,Finance
12248148,07/06/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12240316,07/06/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12247748,08/06/2022,"French, Louie",Housing Services,Place
12250548,08/06/2022,"French, Louie",Housing Services,Place
12252781,08/06/2022,"French, Louie",Environmental Services,Place
12249649,08/06/2022,"Gill, Baljeet","Highways, Traffic and Infrastructure",Place
12253682,08/06/2022,"Holding, Angela",Housing Services,Place
12266846,08/06/2022,"Holding, Angela",Environmental Services,Place
12247850,08/06/2022,"Leaf, David",Exchequer Services,Finance
12253180,08/06/2022,"Leaf, David",Planning and Regulation,Place
12249148,08/06/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12250348,08/06/2022,"Seymour, Melvin",Leisure Parks and Open Spaces,Place
12251048,08/06/2022,"Slaughter, June",Housing Services,Place
12255580,09/06/2022,"Carew, Bola",Leisure Parks and Open Spaces,Place
12257380,09/06/2022,"Curtois, Andrew",Environmental Services,Place
12270744,09/06/2022,"Evennett, David","Corporate HR, Organisational Learning and Development",Corporate Services
12268344,09/06/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12253781,09/06/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12255380,09/06/2022,"Holding, Angela",Environmental Services,Place
12258580,09/06/2022,"Holding, Angela",Planning and Regulation,Place
12273176,09/06/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12273676,09/06/2022,"Holding, Angela",Housing Services,Place
12255180,09/06/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12252081,09/06/2022,"Leaf, David",Exchequer Services,Finance
12253580,09/06/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12254380,09/06/2022,"Leaf, David",Environmental Services,Place
12254780,09/06/2022,"Leaf, David",Parking Enforcement (Bexley and Bromley),Place
12258080,09/06/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12270746,09/06/2022,"Sandhu, Rags",Housing Services,Place
12253683,09/06/2022,"Slaughter, June",Environmental Services,Place
12265848,10/06/2022,"Borella, Stefano",Environmental Services,Place
12271444,10/06/2022,"Hall, Steven",Environmental Services,Place
12275977,10/06/2022,"Hall, Steven",Environmental Services,Place
12284209,10/06/2022,"Hall, Steven",Environmental Services,Place
12263712,10/06/2022,"Holding, Angela",Housing Services,Place
12265846,10/06/2022,"Leaf, David",Exchequer Services,Finance
12266244,10/06/2022,"Ogundayo, Mabel",Libraries and Communities,Place
12270244,10/06/2022,"Oppong-Asare, Abena","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12287008,12/06/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12290872,13/06/2022,"Asunramu, Zainab",Early Intervention & Specialist Teachers,Educational Achievement & Inclusion
12282109,13/06/2022,"Borella, Stefano","Highways, Traffic and Infrastructure",Place
12266444,13/06/2022,"Campbell, Duncan",0-25 SEND,Educational Achievement & Inclusion
12266645,13/06/2022,"Curtois, Andrew",Environmental Services,Place
12273678,13/06/2022,"Day, Anna",Housing Services,Place
12274277,13/06/2022,"Day, Anna",Housing Services,Place
12275476,13/06/2022,"French, Louie",Environmental Services,Place
12284308,13/06/2022,"French, Louie",Housing Services,Place
12274280,13/06/2022,"Gower MBE, Sue",Housing Services,Place
12275978,13/06/2022,"Gower MBE, Sue","Highways, Traffic and Infrastructure",Place
12265746,13/06/2022,"Leaf, David",Exchequer Services,Finance
12271344,13/06/2022,"Leaf, David",Exchequer Services,Finance
12265744,13/06/2022,"Leaf, David",Planning and Regulation,Place
12276976,13/06/2022,"Moore, Lisa-Jane",Complex Care,Adult Social Care & Health
12268044,13/06/2022,"Munur, Cafer",Environmental Services,Place
12265444,13/06/2022,"Ogundayo, Mabel",Housing Services,Place
12267644,13/06/2022,"Ogundayo, Mabel",Housing Services,Place
12275778,13/06/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12282310,13/06/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12280408,13/06/2022,"O'Neill OBE, Teresa",Leisure Parks and Open Spaces,Place
12265844,13/06/2022,"Oppong-Asare, Abena",Leisure Parks and Open Spaces,Place
12275578,13/06/2022,"Oppong-Asare, Abena",Housing Services,Place
12276276,13/06/2022,"Perfect, Wendy",Complex Care,Adult Social Care & Health
12266945,13/06/2022,"Perfect, Wendy",Housing Services,Place
